Game.1,Publisher,VGChartz Score,Critic Score,User Score,Total Shipped,Release Date,Release_year,Mycol,Release,Month_Since_Released
Mario Kart 8 Deluxe,Nintendo,,9.3,,28.99m,28th Apr 17,17,2017-04-28,2017-04-28,1313.0
Animal Crossing: New Horizons Read the review,Nintendo,8.0,,,26.04m,20th Mar 20,20,2020-03-20,2020-03-20,256.0
Super Smash Bros. Ultimate Read the review,Nintendo,9.0,9.4,9.7,21.10m,07th Dec 18,18,2018-12-07,2018-12-07,725.0
The Legend of Zelda: Breath of the Wild,Nintendo,,9.9,10.0,19.74m,03rd Mar 17,17,2017-03-03,2017-03-03,1369.0
Pokémon Sword / Shield Read the review,Nintendo,7.0,,,19.02m,15th Nov 19,19,2019-11-15,2019-11-15,382.0
Super Mario Odyssey Read the review,Nintendo,,9.9,,18.99m,27th Oct 17,17,2017-10-27,2017-10-27,1131.0
"Pokémon: Let's Go, Pikachu/Eevee",Nintendo,,,,12.49m,16th Nov 18,18,2018-11-16,2018-11-16,746.0
Super Mario Party Read the review,Nintendo,7.0,7.3,,12.10m,05th Oct 18,18,2018-10-05,2018-10-05,788.0
Splatoon 2,Nintendo,,8.2,,11.27m,21st Jul 17,17,2017-07-21,2017-07-21,1229.0
New Super Mario Bros. U Deluxe,Nintendo,,,6.6,8.32m,11th Jan 19,19,2019-01-11,2019-01-11,690.0
Luigi's Mansion 3 Read the review,Nintendo,6.0,,,7.83m,31st Oct 19,19,2019-10-31,2019-10-31,397.0
Ring Fit Adventure,Nintendo,,,,5.84m,18th Oct 19,19,2019-10-18,2019-10-18,410.0
Super Mario Maker 2,Nintendo,,,,5.48m,28th Jun 19,19,2019-06-28,2019-06-28,522.0
Super Mario 3D All-Stars Read the review,Nintendo,7.0,,,5.21m,18th Sep 20,20,2020-09-18,2020-09-18,74.0
The Legend of Zelda: Link's Awakening Read the review,Nintendo,8.0,,10.0,4.38m,20th Sep 19,19,2019-09-20,2019-09-20,438.0
1-2-Switch,Nintendo,,5.7,,3.18m,03rd Mar 17,17,2017-03-03,2017-03-03,1369.0
Mario Tennis Aces Read the review,Nintendo,7.0,7.8,,3.06m,22nd Jun 18,18,2018-06-22,2018-06-22,893.0
Hyrule Warriors: Age of Calamity,Nintendo,,,,3.00m,20th Nov 20,20,2020-11-20,2020-11-20,11.0
Kirby Star Allies Read the review,Nintendo,7.0,8.1,10.0,2.93m,16th Mar 18,18,2018-03-16,2018-03-16,991.0
Fire Emblem: Three Houses Read the review,Nintendo,8.0,,10.0,2.87m,26th Jul 19,19,2019-07-26,2019-07-26,494.0
Paper Mario: The Origami King Read the review,Nintendo,8.0,,9.0,2.82m,17th Jul 20,20,2020-07-17,2020-07-17,137.0
Donkey Kong Country: Tropical Freeze Read the review,Nintendo,7.0,9.1,9.1,2.65m,04th May 18,18,2018-05-04,2018-05-04,942.0
ARMS,Nintendo,,7.9,,2.38m,16th Jun 17,17,2017-06-16,2017-06-16,1264.0
Xenoblade Chronicles 2,Nintendo,,8.2,,2.05m,01st Dec 17,17,2017-12-01,2017-12-01,1096.0
Mario + Rabbids: Kingdom Battle Read the review,Ubisoft,,8.3,,2.00m,29th Aug 17,17,2017-08-29,2017-08-29,1190.0
Octopath Traveler Read the review,Nintendo,9.0,8.1,8.7,1.90m,13th Jul 18,18,2018-07-13,2018-07-13,872.0
Minecraft,Mojang,,9.2,,,21st Jun 18,18,2018-06-21,2018-06-21,894.0
Yoshi's Crafted World Read the review,Nintendo,8.0,7.8,,1.84m,29th Mar 19,19,2019-03-29,2019-03-29,613.0
Clubhouse Games: 51 Worldwide Classics Read the review,Nintendo,8.0,,,1.81m,05th Jun 20,20,2020-06-05,2020-06-05,179.0
Captain Toad: Treasure Tracker,Nintendo,,8.1,,1.44m,13th Jul 18,18,2018-07-13,2018-07-13,872.0
Xenoblade Chronicles: Definitive Edition Read the review,Nintendo,7.5,,,1.40m,29th May 20,20,2020-05-29,2020-05-29,186.0
Nintendo Labo: Toy-Con 01 Variety Kit,Nintendo,,7.7,,1.31m,20th Apr 18,18,2018-04-20,2018-04-20,956.0
Pokémon Mystery Dungeon: Rescue Team DX,Nintendo,,,,1.26m,06th Mar 20,20,2020-03-06,2020-03-06,270.0
Pokken Tournament DX,Nintendo,,8.0,,1.16m,22nd Sep 17,17,2017-09-22,2017-09-22,1166.0
The Elder Scrolls V: Skyrim,Bethesda Softworks,,8.6,9.1,,17th Nov 17,17,2017-11-17,2017-11-17,1110.0
Crash Bandicoot N. Sane Trilogy,Activision,,6.0,,,29th Jun 18,18,2018-06-29,2018-06-29,886.0
FIFA 18,EA Sports,,5.8,9.1,,29th Sep 17,17,2017-09-29,2017-09-29,1159.0
Astral Chain,Nintendo,,,,1.08m,30th Aug 19,19,2019-08-30,2019-08-30,459.0
Marvel Ultimate Alliance 3: The Black Order,Nintendo,,,,1.08m,19th Jul 19,19,2019-07-19,2019-07-19,501.0
Enter the Gungeon,Devolver Digital,,,8.4,1.00m,14th Dec 17,17,2017-12-14,2017-12-14,1083.0
Fitness Boxing,Nintendo,,7.0,,1.00m,04th Jan 19,19,2019-01-04,2019-01-04,697.0
Puyo Puyo Tetris Read the review,Sega,,8.3,,1.00m,25th Apr 17,17,2017-04-25,2017-04-25,1316.0
Taiko no Tatsujin: Drum 'n' Fun!,Bandai Namco Games,,7.5,,1.00m,02nd Nov 18,18,2018-11-02,2018-11-02,760.0
Super Bomberman R,Konami Digital Entertainment,,6.3,,,03rd Mar 17,17,2017-03-03,2017-03-03,1369.0
Just Dance 2019,Ubisoft,,,,,23rd Oct 18,18,2018-10-23,2018-10-23,770.0
Just Dance 2018,Ubisoft,,8.0,,,24th Oct 17,17,2017-10-24,2017-10-24,1134.0
"Momotaro Dentetsu: Showa, Heisei, Reiwa Mo Teiban!",Konami,,,,0.75m,19th Nov 20,20,2020-11-19,2020-11-19,12.0
FIFA 19,Electronic Arts,,5.9,,,28th Sep 18,18,2018-09-28,2018-09-28,795.0
Sonic Forces,Sega,,5.4,,,07th Nov 17,17,2017-11-07,2017-11-07,1120.0
Monster Hunter Generations Ultimate Read the review,Capcom,4.0,7.7,,,28th Aug 18,18,2018-08-28,2018-08-28,826.0
The Witcher 3: Complete Edition,CD Projekt Red Studio,,,,0.70m,15th Oct 19,19,2019-10-15,2019-10-15,413.0
Fortnite,Warner Bros. Interactive Entertainment,,8.5,,,16th Nov 18,18,2018-11-16,2018-11-16,746.0
Rayman Legends,Ubisoft,,4.5,,,12th Sep 17,17,2017-09-12,2017-09-12,1176.0
Diablo III: Eternal Collection Read the review,Blizzard Entertainment,8.0,9.0,,,02nd Nov 18,18,2018-11-02,2018-11-02,760.0
LEGO Marvel Super Heroes 2,Warner Bros. Interactive Entertainment,,,,,14th Nov 17,17,2017-11-14,2017-11-14,1113.0
LEGO City Undercover,Warner Bros. Interactive Entertainment,,8.0,,,04th Apr 17,17,2017-04-04,2017-04-04,1337.0
LEGO The Incredibles,Warner Bros. Interactive Entertainment,,6.5,,,15th Jun 18,18,2018-06-15,2018-06-15,900.0
LEGO Worlds,Warner Bros. Interactive Entertainment,,5.0,,,05th Sep 17,17,2017-09-05,2017-09-05,1183.0
Ultra Street Fighter II: The Final Challengers,Capcom,,7.0,,,26th May 17,17,2017-05-26,2017-05-26,1285.0
Starlink: Battle for Atlas,Ubisoft,,7.5,6.0,,16th Oct 18,18,2018-10-16,2018-10-16,777.0
Dragon Ball: Xenoverse 2,Namco Bandai Games,,8.0,,,22nd Sep 17,17,2017-09-22,2017-09-22,1166.0
Fire Emblem Warriors,Nintendo,,7.3,9.6,,20th Oct 17,17,2017-10-20,2017-10-20,1138.0
Fishing Spirits,Bandai Namco Games,,,,0.50m,25th Jul 19,19,2019-07-25,2019-07-25,495.0
Sonic Mania,Sega,,8.8,,,15th Aug 17,17,2017-08-15,2017-08-15,1204.0
Minecraft: Story Mode - The Complete Adventure,Telltale Games,,,,,22nd Aug 17,17,2017-08-22,2017-08-22,1197.0
Hyrule Warriors: Definitive Edition Read the review,Nintendo,7.0,8.0,,,18th May 18,18,2018-05-18,2018-05-18,928.0
L.A. Noire,Rockstar Games,,7.9,8.0,,14th Nov 17,17,2017-11-14,2017-11-14,1113.0
Dragon Ball FighterZ,Bandai Namco Entertainment,,9.0,,,28th Sep 18,18,2018-09-28,2018-09-28,795.0
LEGO DC Super-Villains,Warner Bros. Interactive Entertainment,,7.8,,,16th Oct 18,18,2018-10-16,2018-10-16,777.0
NBA 2K18,2K Sports,,7.5,,,19th Sep 17,17,2017-09-19,2017-09-19,1169.0
Doom (2016),Bethesda Softworks,,8.2,9.1,,10th Nov 17,17,2017-11-10,2017-11-10,1117.0
Nintendo Labo: Toy-Con 03 Vehicle Kit,Nintendo,,7.0,,,14th Sep 18,18,2018-09-14,2018-09-14,809.0
